Date,CountryCode,NumberOfFans
2018-10-12,IT,6765
2018-10-12,KM,4873
2018-10-12,MA,12360
2018-10-12,MG,72374
2018-10-12,ML,40266
2018-10-12,MQ,5402
2018-10-12,MR,4032
2018-10-12,MU,24028
2018-10-12,NC,5002
2018-10-12,NE,10272
2018-10-12,PF,5120
2018-10-12,RE,20797
2018-10-12,RW,1589
2018-10-12,SN,82942
2018-10-12,TD,3242
2018-10-12,TG,9866
2018-10-12,TN,17759
2018-10-12,US,11244
2018-10-12,YT,1967
2018-10-12,ZA,2466
2018-10-13,AO,5934
2018-10-13,BE,10630
2018-10-13,BF,43161
2018-10-13,BI,3200
2018-10-13,BJ,13335
2018-10-13,CA,10444
2018-10-13,CD,50121
2018-10-13,CF,4786
2018-10-13,CG,18442
2018-10-13,CH,1672
2018-10-13,CI,111238
2018-10-13,CM,101241
2018-10-13,CN,1520
2018-10-13,DE,3279
2018-10-13,DJ,3365
2018-10-13,DZ,38861
2018-10-13,ES,2462
2018-10-13,FR,72805
2018-10-13,GA,23759
2018-10-13,GB,2004
2018-10-13,GF,1682
2018-10-13,GH,2295
2018-10-13,GN,36491
2018-10-13,GP,5358
2018-10-13,HT,23020
2018-10-13,IT,6772
2018-10-13,KM,4879
2018-10-13,MA,12383
2018-10-13,MG,72480
2018-10-13,ML,40335
2018-10-13,MQ,5407
2018-10-13,MR,4043
2018-10-13,MU,24072
2018-10-13,NC,5010
2018-10-13,NE,10292
2018-10-13,PF,5123
2018-10-13,RE,20820
2018-10-13,RW,1595
2018-10-13,SN,83085
2018-10-13,TD,3249
2018-10-13,TG,9876
2018-10-13,TN,17788
2018-10-13,US,11265
2018-10-13,YT,1968
2018-10-13,ZA,2470
2018-10-14,AO,5953
2018-10-14,BE,10711
2018-10-14,BF,43280
2018-10-14,BI,3212
2018-10-14,BJ,13369
2018-10-14,CA,10464
2018-10-14,CD,50295
2018-10-14,CF,4790
2018-10-14,CG,18500
2018-10-14,CH,1673
2018-10-14,CI,111553
2018-10-14,CM,101564
2018-10-14,CN,1521
2018-10-14,DE,3301
2018-10-14,DJ,3384
2018-10-14,DZ,38981
2018-10-14,ES,2464
2018-10-14,FR,72992
2018-10-14,GA,23834
2018-10-14,GB,2014
2018-10-14,GF,1687
2018-10-14,GH,2314
2018-10-14,GN,36608
2018-10-14,GP,5366
2018-10-14,HT,23116
2018-10-14,IT,6784
2018-10-14,KM,4898
2018-10-14,MA,12421
2018-10-14,MG,72663
2018-10-14,ML,40430
2018-10-14,MQ,5417
2018-10-14,MR,4062
2018-10-14,MU,24116
2018-10-14,NC,5020
2018-10-14,NE,10320
2018-10-14,PF,5130
2018-10-14,RE,20852
2018-10-14,RW,1599
2018-10-14,SN,83241
2018-10-14,TD,3251
2018-10-14,TG,9889
2018-10-14,TN,17833
2018-10-14,US,11299
2018-10-14,YT,1974
2018-10-14,ZA,2479
2018-10-15,AO,5970
2018-10-15,BE,10733
2018-10-15,BF,43388
2018-10-15,BI,3227
2018-10-15,BJ,13411
2018-10-15,CA,10473
2018-10-15,CD,50505
2018-10-15,CF,4801
2018-10-15,CG,18550
2018-10-15,CH,1673
2018-10-15,CI,111819
2018-10-15,CM,101894
2018-10-15,CN,1519
2018-10-15,DE,3306
2018-10-15,DJ,3390
2018-10-15,DZ,39036
2018-10-15,ES,2469
2018-10-15,FR,73122
2018-10-15,GA,23879
2018-10-15,GB,2017
2018-10-15,GF,1687
2018-10-15,GH,2323
2018-10-15,GN,36711
2018-10-15,GP,5378
2018-10-15,HT,23182
2018-10-15,IT,6800
2018-10-15,KM,4906
2018-10-15,MA,12445
2018-10-15,MG,72811
2018-10-15,ML,40498
2018-10-15,MQ,5419
2018-10-15,MR,4074
2018-10-15,MU,24167
2018-10-15,NC,5028
2018-10-15,NE,10344
2018-10-15,PF,5142
2018-10-15,RE,20869
2018-10-15,RW,1604
2018-10-15,SN,83404
2018-10-15,TD,3260
2018-10-15,TG,9919
2018-10-15,TN,17850
2018-10-15,US,11326
2018-10-15,YT,1978
2018-10-15,ZA,2483
2018-10-16,AO,5992
2018-10-16,BE,10748
2018-10-16,BF,43500
2018-10-16,BI,3246
2018-10-16,BJ,13444
2018-10-16,CA,10489
2018-10-16,CD,50705
2018-10-16,CF,4819
2018-10-16,CG,18612
2018-10-16,CH,1679
2018-10-16,CI,112160
2018-10-16,CM,102211
2018-10-16,CN,1522
2018-10-16,DE,3319
2018-10-16,DJ,3399
2018-10-16,DZ,39093
2018-10-16,ES,2477
2018-10-16,FR,73252
2018-10-16,GA,23954
2018-10-16,GB,2025
2018-10-16,GF,1687
2018-10-16,GH,2329
2018-10-16,GN,36821
2018-10-16,GP,5379
2018-10-16,HT,23270
2018-10-16,IT,6809
2018-10-16,KM,4925
2018-10-16,MA,12465
2018-10-16,MG,72956
2018-10-16,ML,40578
2018-10-16,MQ,5427
2018-10-16,MR,4084
2018-10-16,MU,24210
2018-10-16,NC,5032
2018-10-16,NE,10360
2018-10-16,PF,5148
2018-10-16,RE,20885
2018-10-16,RW,1607
2018-10-16,SN,83561
2018-10-16,TD,3262
2018-10-16,TG,9934
2018-10-16,TN,17873
2018-10-16,US,11355
2018-10-16,YT,1983
2018-10-16,ZA,2489
