Date,Language,CountryCode,NumberOfFans
2018-09-23,ca,ES,16
2018-09-23,da,DK,38
2018-09-23,de,DE,1019
2018-09-23,el,GR,42
2018-09-23,en,GB,10064
2018-09-23,en,US,37257
2018-09-23,es,ES,1316
2018-09-23,es,LA,1908
2018-09-23,fa,IR,14
2018-09-23,ff,NG,258
2018-09-23,fi,FI,17
2018-09-23,fr,CA,11929
2018-09-23,fr,FR,855416
2018-09-23,ha,NG,49
2018-09-23,he,IL,36
2018-09-23,hi,IN,52
2018-09-23,ht,HT,296
2018-09-23,hu,HU,19
2018-09-23,id,ID,131
2018-09-23,it,IT,2718
2018-09-23,ja,JP,14
2018-09-23,mg,MG,545
2018-09-23,nb,NO,36
2018-09-23,nl,BE,59
2018-09-23,nl,NL,322
2018-09-23,pl,PL,41
2018-09-23,pt,BR,1483
2018-09-23,pt,PT,2685
2018-09-23,ro,RO,150
2018-09-23,ru,RU,110
2018-09-23,rw,RW,40
2018-09-23,so,SO,25
2018-09-23,sq,AL,21
2018-09-23,sv,SE,117
2018-09-23,sw,KE,148
2018-09-23,th,TH,55
2018-09-23,tr,TR,119
2018-09-23,tz,MA,31
2018-09-23,vi,VN,26
2018-09-23,zh,CN,40
2018-09-24,af,ZA,17
2018-09-24,ar,AR,4497
2018-09-24,az,AZ,20
2018-09-24,bg,BG,20
2018-09-24,bn,IN,36
2018-09-24,ca,ES,16
2018-09-24,da,DK,38
2018-09-24,de,DE,1023
2018-09-24,el,GR,42
2018-09-24,en,GB,10083
2018-09-24,en,US,37266
2018-09-24,es,ES,1315
2018-09-24,es,LA,1889
2018-09-24,fa,IR,14
2018-09-24,ff,NG,254
2018-09-24,fi,FI,17
2018-09-24,fr,CA,11955
2018-09-24,fr,FR,856843
2018-09-24,ha,NG,52
2018-09-24,he,IL,36
2018-09-24,hi,IN,52
2018-09-24,ht,HT,295
2018-09-24,hu,HU,19
2018-09-24,id,ID,129
2018-09-24,it,IT,2719
2018-09-24,ja,JP,14
2018-09-24,mg,MG,547
2018-09-24,nb,NO,36
2018-09-24,nl,BE,59
2018-09-24,nl,NL,322
2018-09-24,pl,PL,41
2018-09-24,pt,BR,1474
2018-09-24,pt,PT,2693
2018-09-24,ro,RO,150
2018-09-24,ru,RU,110
2018-09-24,rw,RW,41
2018-09-24,so,SO,25
2018-09-24,sq,AL,21
2018-09-24,sv,SE,116
2018-09-24,sw,KE,150
2018-09-24,th,TH,56
2018-09-24,tr,TR,119
2018-09-24,tz,MA,31
2018-09-24,vi,VN,27
2018-09-24,zh,CN,40
2018-09-25,af,ZA,17
2018-09-25,ar,AR,4513
2018-09-25,az,AZ,19
2018-09-25,bg,BG,20
2018-09-25,bn,IN,36
2018-09-25,ca,ES,16
2018-09-25,da,DK,38
2018-09-25,de,DE,1032
2018-09-25,el,GR,42
2018-09-25,en,GB,10101
2018-09-25,en,US,37373
2018-09-25,es,ES,1319
2018-09-25,es,LA,1906
2018-09-25,fa,IR,14
2018-09-25,ff,NG,258
2018-09-25,fi,FI,17
2018-09-25,fr,CA,11960
2018-09-25,fr,FR,858086
2018-09-25,ha,NG,50
2018-09-25,he,IL,36
2018-09-25,hi,IN,51
2018-09-25,ht,HT,296
2018-09-25,hu,HU,19
2018-09-25,id,ID,129
2018-09-25,it,IT,2719
2018-09-25,ja,JP,14
2018-09-25,mg,MG,556
2018-09-25,nb,NO,36
2018-09-25,nl,BE,59
2018-09-25,nl,NL,322
2018-09-25,pl,PL,41
2018-09-25,pt,BR,1494
2018-09-25,pt,PT,2691
2018-09-25,ro,RO,149
2018-09-25,ru,RU,111
2018-09-25,rw,RW,41
2018-09-25,so,SO,24
2018-09-25,sq,AL,21
2018-09-25,sv,SE,116
2018-09-25,sw,KE,149
2018-09-25,th,TH,56
2018-09-25,tr,TR,119
2018-09-25,tz,MA,31
2018-09-25,vi,VN,27
2018-09-25,zh,CN,40
2018-09-26,af,ZA,17
2018-09-26,ar,AR,4529
2018-09-26,az,AZ,20
2018-09-26,bg,BG,20
2018-09-26,bn,IN,36
2018-09-26,ca,ES,16
2018-09-26,da,DK,38
2018-09-26,de,DE,1034
2018-09-26,el,GR,42
2018-09-26,en,GB,10120
2018-09-26,en,US,37456
2018-09-26,es,ES,1322
2018-09-26,es,LA,1914
2018-09-26,fa,IR,14
2018-09-26,ff,NG,259
2018-09-26,fi,FI,17
2018-09-26,fr,CA,11970
2018-09-26,fr,FR,859303
2018-09-26,ha,NG,50
2018-09-26,he,IL,36
2018-09-26,hi,IN,51
2018-09-26,ht,HT,295
2018-09-26,hu,HU,19
2018-09-26,id,ID,130
2018-09-26,it,IT,2722
2018-09-26,ja,JP,14
2018-09-26,mg,MG,557
2018-09-26,nb,NO,36
2018-09-26,nl,BE,59
2018-09-26,nl,NL,322
2018-09-26,pl,PL,41
2018-09-26,pt,BR,1503
2018-09-26,pt,PT,2694
2018-09-26,ro,RO,150
2018-09-26,ru,RU,111
2018-09-26,rw,RW,41
2018-09-26,so,SO,24
2018-09-26,sq,AL,21
2018-09-26,sv,SE,116
2018-09-26,sw,KE,148
2018-09-26,th,TH,56
2018-09-26,tr,TR,119
2018-09-26,tz,MA,31
2018-09-26,vi,VN,27
2018-09-26,zh,CN,42
2018-09-27,af,ZA,17
2018-09-27,ar,AR,4536
2018-09-27,az,AZ,20
2018-09-27,bg,BG,20
2018-09-27,bn,IN,36
2018-09-27,ca,ES,16
2018-09-27,da,DK,38
2018-09-27,de,DE,1034
2018-09-27,el,GR,42
2018-09-27,en,GB,10138
2018-09-27,en,US,37524
2018-09-27,es,ES,1324
2018-09-27,es,LA,1918
2018-09-27,fa,IR,14
2018-09-27,ff,NG,259
2018-09-27,fi,FI,17
2018-09-27,fr,CA,11986
2018-09-27,fr,FR,860598
2018-09-27,ha,NG,50
2018-09-27,he,IL,36
2018-09-27,hi,IN,51
2018-09-27,ht,HT,295
2018-09-27,hu,HU,19
2018-09-27,id,ID,130
2018-09-27,it,IT,2725
2018-09-27,ja,JP,14
2018-09-27,mg,MG,559
2018-09-27,nb,NO,36
2018-09-27,nl,BE,59
2018-09-27,nl,NL,322
2018-09-27,pl,PL,41
2018-09-27,pt,BR,1509
2018-09-27,pt,PT,2698
2018-09-27,ro,RO,151
2018-09-27,ru,RU,111
2018-09-27,rw,RW,42
2018-09-27,so,SO,24
2018-09-27,sq,AL,21
2018-09-27,sv,SE,116
2018-09-27,sw,KE,148
2018-09-27,th,TH,56
2018-09-27,tr,TR,120
2018-09-27,tz,MA,31
2018-09-27,vi,VN,27
2018-09-27,zh,CN,43
2018-09-28,af,ZA,17
2018-09-28,ar,AR,4551
2018-09-28,az,AZ,20
2018-09-28,bg,BG,20
2018-09-28,bn,IN,36
2018-09-28,ca,ES,16
2018-09-28,da,DK,38
2018-09-28,de,DE,1045
2018-09-28,el,GR,42
2018-09-28,en,GB,10147
2018-09-28,en,US,37630
2018-09-28,es,ES,1327
2018-09-28,es,LA,1936
2018-09-28,fa,IR,14
2018-09-28,ff,NG,264
2018-09-28,fi,FI,17
2018-09-28,fr,CA,12000
2018-09-28,fr,FR,861695
2018-09-28,ha,NG,49
2018-09-28,he,IL,35
2018-09-28,hi,IN,52
2018-09-28,ht,HT,294
2018-09-28,hu,HU,19
2018-09-28,id,ID,129
2018-09-28,it,IT,2731
2018-09-28,ja,JP,14
2018-09-28,mg,MG,570
2018-09-28,nb,NO,36
2018-09-28,nl,BE,59
2018-09-28,nl,NL,323
2018-09-28,pl,PL,41
2018-09-28,pt,BR,1520
2018-09-28,pt,PT,2712
2018-09-28,ro,RO,151
2018-09-28,ru,RU,111
2018-09-28,rw,RW,43
2018-09-28,so,SO,23
2018-09-28,sq,AL,21
2018-09-28,sv,SE,115
2018-09-28,sw,KE,149
2018-09-28,th,TH,56
2018-09-28,tr,TR,120
2018-09-28,tz,MA,31
2018-09-28,vi,VN,27
2018-09-28,zh,CN,43
2018-09-29,af,ZA,17
2018-09-29,ar,AR,4558
2018-09-29,az,AZ,21
2018-09-29,bg,BG,20
2018-09-29,bn,IN,36
2018-09-29,ca,ES,16
2018-09-29,da,DK,38
2018-09-29,de,DE,1052
2018-09-29,el,GR,42
2018-09-29,en,GB,10168
2018-09-29,en,US,37706
2018-09-29,es,ES,1330
2018-09-29,es,LA,1940
2018-09-29,fa,IR,14
2018-09-29,ff,NG,264
2018-09-29,fi,FI,17
2018-09-29,fr,CA,12009
2018-09-29,fr,FR,862952
2018-09-29,ha,NG,49
2018-09-29,he,IL,35
2018-09-29,hi,IN,52
2018-09-29,ht,HT,295
2018-09-29,hu,HU,19
2018-09-29,id,ID,131
2018-09-29,it,IT,2737
2018-09-29,ja,JP,14
2018-09-29,mg,MG,568
2018-09-29,nb,NO,36
2018-09-29,nl,BE,59
2018-09-29,nl,NL,324
2018-09-29,pl,PL,41
2018-09-29,pt,BR,1535
2018-09-29,pt,PT,2716
2018-09-29,ro,RO,151
2018-09-29,ru,RU,112
2018-09-29,rw,RW,44
2018-09-29,so,SO,23
2018-09-29,sq,AL,22
2018-09-29,sv,SE,115
2018-09-29,sw,KE,150
2018-09-29,th,TH,56
2018-09-29,tr,TR,121
2018-09-29,tz,MA,32
2018-09-29,vi,VN,27
2018-09-29,zh,CN,43
2018-09-30,af,ZA,19
2018-09-30,ar,AR,4572
2018-09-30,az,AZ,21
2018-09-30,bg,BG,20
2018-09-30,bn,IN,36
