Date,Language,CountryCode,NumberOfFans
2018-10-09,pt,BR,1556
2018-10-09,pt,PT,2786
2018-10-09,ro,RO,151
2018-10-09,ru,RU,111
2018-10-09,rw,RW,44
2018-10-09,so,SO,26
2018-10-09,sq,AL,22
2018-10-09,sv,SE,117
2018-10-09,sw,KE,155
2018-10-09,ta,IN,14
2018-10-09,th,TH,56
2018-10-09,tr,TR,122
2018-10-09,tz,MA,33
2018-10-09,vi,VN,24
2018-10-09,zh,CN,43
2018-10-10,af,ZA,20
2018-10-10,ar,AR,4649
2018-10-10,az,AZ,21
2018-10-10,bg,BG,20
2018-10-10,bn,IN,39
2018-10-10,ca,ES,17
2018-10-10,da,DK,40
2018-10-10,de,DE,1078
2018-10-10,el,GR,42
2018-10-10,en,GB,10341
2018-10-10,en,US,38342
2018-10-10,es,ES,1345
2018-10-10,es,LA,1989
2018-10-10,ff,NG,282
2018-10-10,fi,FI,17
2018-10-10,fr,CA,12183
2018-10-10,fr,FR,878268
2018-10-10,ha,NG,50
2018-10-10,he,IL,34
2018-10-10,hi,IN,52
2018-10-10,ht,HT,306
2018-10-10,hu,HU,19
2018-10-10,id,ID,129
2018-10-10,it,IT,2766
2018-10-10,ja,JP,14
2018-10-10,mg,MG,580
2018-10-10,nb,NO,36
2018-10-10,nl,BE,62
2018-10-10,nl,NL,328
2018-10-10,pl,PL,42
2018-10-10,pt,BR,1559
2018-10-10,pt,PT,2799
2018-10-10,ro,RO,151
2018-10-10,ru,RU,111
2018-10-10,rw,RW,45
2018-10-10,so,SO,27
2018-10-10,sq,AL,22
2018-10-10,sv,SE,117
2018-10-10,sw,KE,154
2018-10-10,ta,IN,15
2018-10-10,th,TH,56
2018-10-10,tr,TR,122
2018-10-10,tz,MA,35
2018-10-10,vi,VN,24
2018-10-10,zh,CN,42
2018-10-11,af,ZA,21
2018-10-11,ar,AR,4673
2018-10-11,az,AZ,22
2018-10-11,bg,BG,20
2018-10-11,bn,IN,39
2018-10-11,ca,ES,17
2018-10-11,da,DK,40
2018-10-11,de,DE,1084
2018-10-11,el,GR,43
2018-10-11,en,GB,10372
2018-10-11,en,US,38442
2018-10-11,es,ES,1344
2018-10-11,es,LA,1990
2018-10-11,ff,NG,286
2018-10-11,fi,FI,17
2018-10-11,fr,CA,12205
2018-10-11,fr,FR,880155
2018-10-11,ha,NG,50
2018-10-11,he,IL,34
2018-10-11,hi,IN,54
2018-10-11,ht,HT,306
2018-10-11,hu,HU,19
2018-10-11,id,ID,128
2018-10-11,it,IT,2781
2018-10-11,ja,JP,15
2018-10-11,mg,MG,579
2018-10-11,nb,NO,36
2018-10-11,nl,BE,62
2018-10-11,nl,NL,330
2018-10-11,pl,PL,44
2018-10-11,pt,BR,1566
2018-10-11,pt,PT,2798
2018-10-11,ro,RO,151
2018-10-11,ru,RU,110
2018-10-11,rw,RW,45
2018-10-11,so,SO,27
2018-10-11,sq,AL,22
2018-10-11,sv,SE,118
2018-10-11,sw,KE,154
2018-10-11,ta,IN,15
2018-10-11,th,TH,56
2018-10-11,tr,TR,124
2018-10-11,tz,MA,35
2018-10-11,vi,VN,24
2018-10-11,zh,CN,43
2018-10-12,af,ZA,20
2018-10-12,ar,AR,4687
2018-10-12,az,AZ,22
2018-10-12,bg,BG,20
2018-10-12,bn,IN,39
2018-10-12,ca,ES,17
2018-10-12,da,DK,40
2018-10-12,de,DE,1084
2018-10-12,el,GR,43
2018-10-12,en,GB,10394
2018-10-12,en,US,38550
2018-10-12,es,ES,1351
2018-10-12,es,LA,2001
2018-10-12,ff,NG,288
2018-10-12,fi,FI,18
2018-10-12,fr,CA,12220
2018-10-12,fr,FR,881954
2018-10-12,ha,NG,50
2018-10-12,he,IL,34
2018-10-12,hi,IN,53
2018-10-12,ht,HT,306
2018-10-12,hu,HU,19
2018-10-12,id,ID,128
2018-10-12,it,IT,2784
2018-10-12,ja,JP,15
2018-10-12,mg,MG,588
2018-10-12,nb,NO,36
2018-10-12,nl,BE,63
2018-10-12,nl,NL,330
2018-10-12,pl,PL,45
2018-10-12,pt,BR,1570
2018-10-12,pt,PT,2809
2018-10-12,ro,RO,151
2018-10-12,ru,RU,111
2018-10-12,rw,RW,47
2018-10-12,so,SO,27
2018-10-12,sq,AL,22
2018-10-12,sv,SE,118
2018-10-12,sw,KE,155
2018-10-12,ta,IN,14
2018-10-12,th,TH,57
2018-10-12,tr,TR,124
2018-10-12,tz,MA,35
2018-10-12,vi,VN,24
2018-10-12,zh,CN,42
2018-10-13,af,ZA,20
2018-10-13,ar,AR,4699
2018-10-13,az,AZ,22
2018-10-13,bg,BG,20
2018-10-13,bn,IN,39
2018-10-13,ca,ES,17
2018-10-13,da,DK,40
2018-10-13,de,DE,1088
2018-10-13,el,GR,43
2018-10-13,en,GB,10420
2018-10-13,en,US,38616
2018-10-13,es,ES,1355
2018-10-13,es,LA,2004
2018-10-13,ff,NG,289
2018-10-13,fi,FI,18
2018-10-13,fr,CA,12238
2018-10-13,fr,FR,883736
2018-10-13,ha,NG,50
2018-10-13,he,IL,34
2018-10-13,hi,IN,53
2018-10-13,ht,HT,307
2018-10-13,hu,HU,19
2018-10-13,id,ID,129
2018-10-13,it,IT,2787
2018-10-13,ja,JP,15
2018-10-13,mg,MG,589
2018-10-13,nb,NO,36
2018-10-13,nl,BE,63
2018-10-13,nl,NL,331
2018-10-13,pl,PL,45
2018-10-13,pt,BR,1572
2018-10-13,pt,PT,2818
2018-10-13,ro,RO,151
2018-10-13,ru,RU,111
2018-10-13,rw,RW,47
2018-10-13,so,SO,27
2018-10-13,sq,AL,22
2018-10-13,sv,SE,118
2018-10-13,sw,KE,154
2018-10-13,ta,IN,14
2018-10-13,th,TH,57
2018-10-13,tr,TR,125
2018-10-13,tz,MA,35
2018-10-13,vi,VN,24
2018-10-13,zh,CN,42
2018-10-14,af,ZA,19
2018-10-14,ar,AR,4758
2018-10-14,az,AZ,21
2018-10-14,bg,BG,20
2018-10-14,bn,IN,39
2018-10-14,ca,ES,17
2018-10-14,da,DK,40
2018-10-14,de,DE,1092
2018-10-14,el,GR,42
2018-10-14,en,GB,10459
2018-10-14,en,US,38707
2018-10-14,es,ES,1360
2018-10-14,es,LA,2013
2018-10-14,ff,NG,284
2018-10-14,fi,FI,18
2018-10-14,fr,CA,12260
2018-10-14,fr,FR,885575
2018-10-14,ha,NG,52
2018-10-14,he,IL,34
2018-10-14,hi,IN,55
2018-10-14,ht,HT,316
2018-10-14,hu,HU,19
2018-10-14,id,ID,131
2018-10-14,it,IT,2793
2018-10-14,ja,JP,15
2018-10-14,mg,MG,593
2018-10-14,nb,NO,36
2018-10-14,nl,BE,63
2018-10-14,nl,NL,330
2018-10-14,pl,PL,44
2018-10-14,pt,BR,1573
2018-10-14,pt,PT,2830
2018-10-14,ro,RO,151
2018-10-14,ru,RU,111
2018-10-14,rw,RW,49
2018-10-14,so,SO,26
2018-10-14,sq,AL,22
2018-10-14,sv,SE,118
2018-10-14,sw,KE,155
2018-10-14,ta,IN,14
2018-10-14,th,TH,58
2018-10-14,tr,TR,126
2018-10-14,tz,MA,36
2018-10-14,vi,VN,25
2018-10-14,zh,CN,43
2018-10-15,af,ZA,19
2018-10-15,ar,AR,4770
2018-10-15,az,AZ,22
2018-10-15,bg,BG,20
2018-10-15,bn,IN,39
2018-10-15,ca,ES,17
2018-10-15,da,DK,40
2018-10-15,de,DE,1093
2018-10-15,el,GR,42
2018-10-15,en,GB,10487
2018-10-15,en,US,38807
2018-10-15,es,ES,1361
2018-10-15,es,LA,2024
2018-10-15,ff,NG,287
2018-10-15,fi,FI,18
2018-10-15,fr,CA,12274
2018-10-15,fr,FR,887285
2018-10-15,ha,NG,51
2018-10-15,he,IL,34
2018-10-15,hi,IN,55
2018-10-15,ht,HT,317
2018-10-15,hu,HU,19
2018-10-15,id,ID,131
2018-10-15,it,IT,2794
2018-10-15,ja,JP,15
2018-10-15,mg,MG,594
2018-10-15,nb,NO,36
2018-10-15,nl,BE,63
2018-10-15,nl,NL,331
2018-10-15,pl,PL,44
2018-10-15,pt,BR,1580
2018-10-15,pt,PT,2837
2018-10-15,ro,RO,151
2018-10-15,ru,RU,111
2018-10-15,rw,RW,50
2018-10-15,so,SO,28
2018-10-15,sq,AL,22
2018-10-15,sv,SE,118
2018-10-15,sw,KE,156
2018-10-15,ta,IN,14
2018-10-15,th,TH,58
2018-10-15,tr,TR,126
2018-10-15,tz,MA,35
2018-10-15,vi,VN,24
2018-10-15,zh,CN,43
2018-10-16,af,ZA,19
2018-10-16,ar,AR,4776
2018-10-16,az,AZ,22
2018-10-16,bg,BG,20
2018-10-16,bn,IN,39
2018-10-16,ca,ES,17
2018-10-16,da,DK,40
2018-10-16,de,DE,1104
2018-10-16,el,GR,42
2018-10-16,en,GB,10509
2018-10-16,en,US,38909
2018-10-16,es,ES,1368
2018-10-16,es,LA,2041
2018-10-16,ff,NG,289
2018-10-16,fi,FI,18
2018-10-16,fr,CA,12297
2018-10-16,fr,FR,889371
2018-10-16,ha,NG,54
2018-10-16,he,IL,33
2018-10-16,hi,IN,55
2018-10-16,ht,HT,321
2018-10-16,hu,HU,19
2018-10-16,id,ID,131
2018-10-16,it,IT,2802
2018-10-16,ja,JP,15
2018-10-16,mg,MG,595
2018-10-16,nb,NO,37
2018-10-16,nl,BE,63
2018-10-16,nl,NL,331
2018-10-16,pl,PL,46
2018-10-16,pt,BR,1589
2018-10-16,pt,PT,2849
2018-10-16,ro,RO,151
2018-10-16,ru,RU,111
2018-10-16,rw,RW,50
2018-10-16,so,SO,28
2018-10-16,sq,AL,22
2018-10-16,sv,SE,118
2018-10-16,sw,KE,156
2018-10-16,ta,IN,14
2018-10-16,th,TH,57
2018-10-16,tr,TR,127
2018-10-16,tz,MA,35
2018-10-16,vi,VN,25
2018-10-16,zh,CN,42
