CreatedTime,EngagedFans,Impressions,NegativeFeedback,NonViralimpressions,NonViralReach,PostActivity,PostActivityUnique,PostClicks,UniquePostClicks,PostReactionsAnger,PostReactionsHaHa,PostReactionsLike,PostReactionsLove,PostReactionsSorry,PostReactionsWow,Reach
2018-04-10 17:00:00,2038,138953,3,46782,33472,4094,3264,2382,2057,0,0,2656,113,0,0,95929
2018-04-10 17:30:00,1083,47186,4,33377,23341,898,736,1135,1033,0,0,586,28,5,0,32934
2018-04-10 18:00:00,3299,174052,9,78743,57081,5175,4267,4121,3690,2,12,3636,144,13,5,120786
2018-04-10 19:00:00,5873,343372,13,98248,70691,9746,7768,8204,7017,0,52,6145,286,2,14,236403
2018-04-10 20:00:00,1659,128222,3,23543,17172,5568,5121,3572,3197,0,3,4600,114,4,4,94095
2018-04-10 20:30:00,953,57138,3,37553,26282,1096,909,824,750,0,1,717,20,0,3,38356
2018-04-10 21:00:00,866,43932,2,33116,23173,889,801,642,603,0,1,622,26,3,2,29842
2018-04-10 21:30:00,1897,84533,6,43913,30137,2476,2161,1501,1382,0,2,1745,39,0,0,57180
2018-04-10 22:30:00,1943,97619,2,46667,32836,2948,2487,1660,1426,0,1,1905,71,0,0,67613
2018-04-10 23:00:00,2184,112455,2,49697,34875,3875,3187,2005,1746,0,1,2733,105,0,1,78188
2018-05-10 05:00:00,5886,299779,14,73584,52728,13827,11402,5974,5310,0,8,9828,333,0,4,204213
2018-05-10 05:15:00,3412,179976,10,66504,48133,6132,4724,3426,3023,0,8,4009,188,1,1,126702
2018-05-10 05:30:00,2434,127291,6,46200,33394,4280,3578,2341,2074,0,1,2876,85,2,1,86663
2018-05-10 05:45:00,6433,389244,27,86399,62087,13379,10928,8096,7279,1,4,9126,429,0,2,276682
2018-05-10 06:00:00,1499,64818,5,39183,28862,2094,1765,1041,895,0,2,1404,58,47,1,47031
2018-05-10 07:00:00,3397,185235,5,67244,48663,7035,5892,3203,2831,0,3,4687,180,0,1,126257
2018-05-10 07:30:00,1578,74711,5,38897,27721,1864,1586,1652,1458,0,0,1231,47,1,3,53161
2018-05-10 08:00:00,1008,62726,4,26717,18428,1765,1458,1162,1019,0,1,1185,51,0,3,44016
2018-05-10 10:00:00,6869,451973,14,104722,76368,15090,12081,9818,8594,3,29,10057,375,9,8,301897
2018-05-10 11:00:00,4551,313509,8,72900,51566,13062,10162,9760,8474,0,4,8461,201,2,3,209074
2018-05-10 12:00:00,21418,1839067,67,182876,127704,68819,55798,49982,43187,31,1725,46773,1729,99,133,1187774
2018-05-10 13:00:00,1107,61977,2,36625,25986,1298,1085,1027,940,0,0,805,20,8,1,43892
2018-05-10 14:00:00,2815,138007,7,52206,37872,5364,4645,2388,2132,1,4,3873,106,1,3,98586
2018-05-10 15:00:00,3032,165914,9,48304,34482,6650,5639,3651,3397,1,2,4462,206,8,4,115547
2018-05-10 17:00:00,929,57521,3,32859,23047,1453,1212,874,776,0,0,1011,34,2,3,40975
2018-05-10 17:30:00,6756,438190,14,108059,77610,14653,12025,8714,7506,14,32,9796,258,54,24,297829
2018-05-10 18:00:00,867,39302,1,22940,15380,1190,998,593,527,0,0,841,19,0,1,27047
2018-05-10 18:11:00,1074,6867,8,6630,5441,296,283,967,881,0,0,260,13,0,0,5598
2018-05-10 18:14:00,500,3690,3,3390,2884,43,40,582,506,0,1,39,3,0,0,3063
2018-05-10 18:30:00,3001,181849,7,60058,43506,5899,4795,4008,3466,1,61,4066,106,5,13,125613
2018-05-10 19:00:00,3006,158137,6,63449,44493,4677,3873,2929,2630,0,1,3160,96,1,2,108692
2018-05-10 19:30:00,1337,66914,2,35021,23955,2148,1768,1044,955,0,0,1523,49,1,1,45948
2018-05-10 20:00:00,1452,79517,3,44485,31082,1448,1191,1842,1569,0,4,950,39,1,2,54891
2018-05-10 21:00:00,863,52764,2,30606,20748,1064,873,748,668,0,0,692,25,2,0,35579
2018-05-10 21:36:00,3589,80296,9,70834,52558,945,838,4270,3560,1,1,723,45,1,3,58137
2018-05-10 22:00:00,3370,159798,5,63931,44444,5961,5322,3823,3314,1,3,4470,122,2,8,111377
2018-05-10 22:30:00,3154,195057,3,53962,37800,7840,6846,3621,3329,0,3,5669,164,0,7,132684
2018-05-10 23:00:00,950,44809,5,30184,21212,1172,1031,577,522,0,0,864,17,0,0,30243
2018-05-10 23:30:00,2942,169176,9,63294,46019,5055,3975,3649,3076,0,3,3072,91,1,1,118396
2018-06-10 05:00:00,4460,219665,11,77187,56733,7969,6415,4124,3684,2,2,5341,281,0,1,155809
2018-06-10 05:15:00,3515,193662,13,70520,50582,7822,6658,3798,3376,0,12,5658,325,1,21,141617
2018-06-10 05:30:00,4848,277898,11,89012,63074,8492,6642,6010,5348,0,1,5257,173,1,3,188404
2018-06-10 05:45:00,1673,84093,9,36077,26006,2466,2038,1492,1282,0,1,1667,53,0,1,59492
2018-06-10 06:37:00,767,39025,2,23182,16424,1154,979,445,400,0,0,811,42,0,1,27072
2018-06-10 06:37:00,4764,227561,10,68397,47785,9400,7992,3972,3434,0,2,6729,225,1,4,155306
2018-06-10 07:00:00,1735,102536,6,35005,25042,4045,3304,2080,1818,1,0,2975,102,1,5,73487
2018-06-10 08:01:00,4188,242681,7,80063,58219,7144,5769,4833,4173,0,9,4582,164,7,5,160263
2018-06-10 09:00:00,1036,53326,7,29128,21310,1348,1178,1038,931,0,0,986,33,0,2,38424
2018-06-10 10:00:00,7987,549087,21,105099,75170,19499,15767,12386,10822,0,61,13145,597,3,10,362269
2018-06-10 11:00:00,5290,302557,12,62042,43788,15385,12675,5830,5503,0,10,12114,336,1,5,202967
2018-06-10 12:00:00,1905,117212,9,46860,33242,3100,2594,2331,2038,1,1,2097,68,1,4,79693
2018-06-10 13:00:00,1664,85851,5,40868,28223,2610,2249,1297,1161,0,1,1817,42,0,1,58905
2018-06-10 13:30:00,4399,292881,12,108735,79698,8208,6906,5005,4003,1,124,5746,226,1,9,197967
2018-06-10 14:00:00,7407,445778,16,122027,87754,12772,10537,9190,8163,30,36,8206,219,252,39,295265
2018-06-10 15:00:00,4196,262793,8,78810,58350,7879,6518,5121,4315,4,13,5266,135,49,6,177953
2018-06-10 15:30:00,2511,129959,3,54051,39854,3936,3299,3211,2835,0,4,2838,129,0,1,88447
2018-06-10 16:00:00,1595,91175,2,49290,34091,2082,1634,1638,1518,0,0,1272,66,2,3,61809
2018-06-10 16:30:00,1539,65855,6,46828,33561,1173,988,1459,1322,0,3,781,10,16,1,46546
2018-06-10 17:00:00,1565,67878,3,40722,28718,2048,1820,1068,961,0,1,1493,51,0,3,47256
2018-06-10 18:00:00,2055,114426,7,48416,34769,3911,3221,2091,1951,0,1,2769,72,0,1,79402
2018-06-10 18:30:00,5770,430672,13,93209,68439,14880,11935,9184,8069,2,231,9985,295,1,18,299870
2018-06-10 19:00:00,2511,125544,9,57142,39776,4141,3397,2265,1985,0,4,2959,108,0,3,83076
2018-06-10 19:30:00,6362,358136,13,99536,70454,12076,10123,8420,7327,0,8,8242,337,35,3,237354
2018-06-10 20:00:00,2627,196708,5,54052,36476,10480,9872,4885,4203,0,2,8499,134,3,13,140929
2018-06-10 21:00:00,5741,372130,12,92353,66780,11212,8856,9384,8401,4,2,7233,320,8,6,257556
2018-06-10 21:30:00,2900,172444,11,56110,39336,6558,5783,3099,2741,0,7,5042,244,2,3,114338
2018-06-10 22:00:00,1606,70314,5,42514,28896,2617,2291,1003,918,0,12,2098,97,0,5,47220
