Date,City,CountryCode,NumberOfFans
9/22/2018,N'Djamena,TD,2873
9/22/2018,Ngaoundere,CM,2286
9/22/2018,Niamey,NE,7818
9/22/2018,Nouakchott,MR,3399
9/22/2018,Noumea,NC,2927
9/22/2018,Oran,DZ,3050
9/22/2018,Ouagadougou,BF,31580
9/22/2018,Paris,FR,16054
9/22/2018,Pointe-Noire,CD,6386
9/22/2018,Port-Louis,MU,7394
9/22/2018,Port-au-Prince,HT,11120
9/22/2018,Brussels,BE,2567
9/22/2018,Saint-Denis (La Reunion),RE,3744
9/22/2018,Saint-Pierre (La Reunion),RE,2282
9/22/2018,Tananarive,MG,7112
9/22/2018,Thies,SN,3850
9/22/2018,Tizi Ouzou,DZ,2479
9/22/2018,Tunis,TN,6625
9/22/2018,Yaounde,CM,20181
9/23/2018,Abidjan,CI,85679
9/23/2018,Alger,DZ,10655
9/23/2018,Antananarivo,MG,38318
9/23/2018,Bamako,ML,31265
9/23/2018,Bangui,CF,4384
9/23/2018,Bobo-Dioulasso,BF,4575
9/23/2018,Bouake ,CI,3187
9/23/2018,Brazzaville,CD,10238
9/23/2018,Bujumbura,BI,2538
9/23/2018,Bejaia,DZ,2313
9/23/2018,Casablanca,MA,3927
9/23/2018,Cocody,CI,2787
9/23/2018,Conakry,GN,30613
9/23/2018,Cotonou,BJ,9253
9/23/2018,Dakar,SN,51599
9/23/2018,Djibouti (ville),DJ,3107
9/23/2018,Douala,CM,44797
9/23/2018,Fianarantsoa,MG,2336
9/23/2018,Jaunde,CM,12406
9/23/2018,Kinshasa,CD,31646
9/23/2018,Libreville,GA,19229
9/23/2018,Lome,TG,8954
9/23/2018,Luanda,AO,4554
9/23/2018,Lubumbashi,CD,5515
9/23/2018,Montreal,CA,2847
9/23/2018,Moroni,KM,2982
9/23/2018,N'Djamena,TD,2877
9/23/2018,Ngaoundere,CM,2289
9/23/2018,Niamey,NE,7829
9/23/2018,Nouakchott,MR,3405
9/23/2018,Noumea,NC,2928
9/23/2018,Oran,DZ,3053
9/23/2018,Ouagadougou,BF,31616
9/23/2018,Paris,FR,16078
9/23/2018,Pointe-Noire,CD,6395
9/23/2018,Port-Louis,MU,7401
9/23/2018,Port-au-Prince,HT,11139
9/23/2018,Brussels,BE,2571
9/23/2018,Saint-Denis (La Reunion),RE,3743
9/23/2018,Saint-Pierre (La Reunion),RE,2285
9/23/2018,Tananarive,MG,7116
9/23/2018,Thies,SN,3854
9/23/2018,Tizi Ouzou,DZ,2482
9/23/2018,Tunis,TN,6631
9/23/2018,Yaounde,CM,20193
9/24/2018,Abidjan,CI,85813
9/24/2018,Alger,DZ,10661
9/24/2018,Antananarivo,MG,38366
9/24/2018,Bamako,ML,31308
9/24/2018,Bangui,CF,4394
9/24/2018,Bobo-Dioulasso,BF,4586
9/24/2018,Bouake ,CI,3192
9/24/2018,Brazzaville,CD,10256
9/24/2018,Bujumbura,BI,2543
9/24/2018,Bejaia,DZ,2312
9/24/2018,Casablanca,MA,3928
9/24/2018,Cocody,CI,2788
9/24/2018,Conakry,GN,30680
9/24/2018,Cotonou,BJ,9265
9/24/2018,Dakar,SN,51669
9/24/2018,Djibouti (ville),DJ,3107
9/24/2018,Douala,CM,44863
9/24/2018,Fianarantsoa,MG,2339
9/24/2018,Jaunde,CM,12433
9/24/2018,Kinshasa,CD,31713
9/24/2018,Libreville,GA,19263
9/24/2018,Lome,TG,8967
9/24/2018,Luanda,AO,4561
9/24/2018,Lubumbashi,CD,5526
9/24/2018,Montreal,CA,2849
9/24/2018,Moroni,KM,2991
9/24/2018,N'Djamena,TD,2879
9/24/2018,Ngaoundere,CM,2292
9/24/2018,Niamey,NE,7841
9/24/2018,Nouakchott,MR,3416
9/24/2018,Noumea,NC,2932
9/24/2018,Oran,DZ,3057
9/24/2018,Ouagadougou,BF,31671
9/24/2018,Paris,FR,16104
9/24/2018,Pointe-Noire,CD,6410
9/24/2018,Port-Louis,MU,7409
9/24/2018,Port-au-Prince,HT,11159
9/24/2018,Brussels,BE,2576
9/24/2018,Saint-Denis (La Reunion),RE,3747
9/24/2018,Saint-Pierre (La Reunion),RE,2287
9/24/2018,Tananarive,MG,7129
9/24/2018,Thies,SN,3860
9/24/2018,Tizi Ouzou,DZ,2490
9/24/2018,Tunis,TN,6642
9/24/2018,Yaounde,CM,20216
9/25/2018,Abidjan,CI,84675
9/25/2018,Alger,DZ,10398
9/25/2018,Antananarivo,MG,38306
9/25/2018,Bamako,ML,31063
9/25/2018,Bangui,CF,4387
9/25/2018,Bobo-Dioulasso,BF,4690
9/25/2018,Bouake ,CI,3284
9/25/2018,Brazzaville,CD,10244
9/25/2018,Bujumbura,BI,2544
9/25/2018,Bejaia,DZ,2316
9/25/2018,Casablanca,MA,3933
9/25/2018,Cocody,CI,3223
9/25/2018,Conakry,GN,30516
9/25/2018,Cotonou,BJ,9291
9/25/2018,Dakar,SN,51618
9/25/2018,Djibouti (ville),DJ,3115
9/25/2018,Douala,CM,45040
9/25/2018,Fianarantsoa,MG,2345
9/25/2018,Jaunde,CM,12077
9/25/2018,Kinshasa,CD,31765
9/25/2018,Libreville,GA,19221
9/25/2018,Lome,TG,8956
9/25/2018,Luanda,AO,4574
9/25/2018,Lubumbashi,CD,5514
9/25/2018,Montreal,CA,2863
9/25/2018,Moroni,KM,2993
9/25/2018,N'Djamena,TD,2872
9/25/2018,Ngaoundere,CM,2297
9/25/2018,Niamey,NE,7807
9/25/2018,Nouakchott,MR,3389
9/25/2018,Noumea,NC,2936
9/25/2018,Oran,DZ,3063
9/25/2018,Ouagadougou,BF,31230
9/25/2018,Paris,FR,16229
9/25/2018,Pointe-Noire,CD,6402
9/25/2018,Port-Louis,MU,7359
9/25/2018,Port-au-Prince,HT,11155
9/25/2018,Brussels,BE,2600
9/25/2018,Saint-Denis (La Reunion),RE,3754
9/25/2018,Saint-Pierre (La Reunion),RE,2285
9/25/2018,Tananarive,MG,7184
9/25/2018,Thies,SN,3872
9/25/2018,Tizi Ouzou,DZ,2528
9/25/2018,Tunis,TN,6660
9/25/2018,Yaounde,CM,20470
9/26/2018,Abidjan,CI,84459
9/26/2018,Alger,DZ,10379
9/26/2018,Antananarivo,MG,38318
9/26/2018,Bamako,ML,31045
9/26/2018,Bangui,CF,4375
9/26/2018,Bobo-Dioulasso,BF,4759
9/26/2018,Bouake ,CI,3311
9/26/2018,Brazzaville,CD,10239
9/26/2018,Bujumbura,BI,2548
9/26/2018,Bejaia,DZ,2320
9/26/2018,Casablanca,MA,3945
9/26/2018,Cocody,CI,3345
9/26/2018,Conakry,GN,30482
9/26/2018,Cotonou,BJ,9293
9/26/2018,Dakar,SN,51608
9/26/2018,Djibouti (ville),DJ,3120
9/26/2018,Douala,CM,45109
9/26/2018,Fianarantsoa,MG,2351
9/26/2018,Jaunde,CM,11914
9/26/2018,Kinshasa,CD,31845
9/26/2018,Libreville,GA,19207
9/26/2018,Lome,TG,8947
9/26/2018,Luanda,AO,4577
9/26/2018,Lubumbashi,CD,5524
9/26/2018,Montreal,CA,2877
9/26/2018,Moroni,KM,2992
9/26/2018,N'Djamena,TD,2876
9/26/2018,Ngaoundere,CM,2298
9/26/2018,Niamey,NE,7806
9/26/2018,Nouakchott,MR,3392
9/26/2018,Noumea,NC,2941
9/26/2018,Oran,DZ,3063
9/26/2018,Ouagadougou,BF,31012
9/26/2018,Paris,FR,16311
9/26/2018,Pointe-Noire,CD,6411
9/26/2018,Port-Louis,MU,7379
9/26/2018,Port-au-Prince,HT,11207
9/26/2018,Brussels,BE,2603
9/26/2018,Saint-Denis (La Reunion),RE,3752
9/26/2018,Saint-Louis,SN,2289
9/26/2018,Tananarive,MG,7241
9/26/2018,Thies,SN,3869
9/26/2018,Tizi Ouzou,DZ,2533
9/26/2018,Tunis,TN,6640
9/26/2018,Yaounde,CM,20639
9/27/2018,Abidjan,CI,84602
9/27/2018,Alger,DZ,10393
9/27/2018,Antananarivo,MG,38365
9/27/2018,Bamako,ML,31089
9/27/2018,Bangui,CF,4386
9/27/2018,Bobo-Dioulasso,BF,4769
9/27/2018,Bouake ,CI,3319
9/27/2018,Brazzaville,CD,10257
9/27/2018,Bujumbura,BI,2554
9/27/2018,Bejaia,DZ,2322
9/27/2018,Casablanca,MA,3948
9/27/2018,Cocody,CI,3349
9/27/2018,Conakry,GN,30552
9/27/2018,Cotonou,BJ,9306
9/27/2018,Dakar,SN,51675
9/27/2018,Djibouti (ville),DJ,3124
9/27/2018,Douala,CM,45176
9/27/2018,Fianarantsoa,MG,2354
9/27/2018,Jaunde,CM,11944
9/27/2018,Kinshasa,CD,31917
9/27/2018,Libreville,GA,19243
9/27/2018,Lome,TG,8954
9/27/2018,Luanda,AO,4579
9/27/2018,Lubumbashi,CD,5536
9/27/2018,Montreal,CA,2879
9/27/2018,Moroni,KM,3004
9/27/2018,N'Djamena,TD,2877
